year,y,lower,upper
1983,-9.193546,-9.453546,-8.933546
1984,-9.048637,-9.308637,-8.788637
1985,-9.197145,-9.457145,-8.937145
1986,-9.20772,-9.46772,-8.94772
1987,-9.072516,-9.332516,-8.812516
1988,-9.407978,-9.667978,-9.147978
1989,-9.34604,-9.60604,-9.08604
1990,-9.319565,-9.579565,-9.059565
1991,-9.238538,-9.498538,-8.978538
1992,-8.974513,-9.234513,-8.714513
1993,-9.583952,-9.843952,-9.323952
1994,-9.400744,-9.660744,-9.140744
1995,-9.094981,-9.354981,-8.834981
1996,-8.924418,-9.184418,-8.664418
1997,-8.733369,-8.993369,-8.473369
1998,-8.772833,-9.032833,-8.512833
1999,-8.689458,-8.949458,-8.429458
2000,-8.596322,-8.856322,-8.336322
2001,-8.880467,-9.140467,-8.620467
2002,-8.657423,-8.917423,-8.397423
2003,-8.857696,-9.117696,-8.597696
2004,-8.787013,-9.047013,-8.527013
2005,-8.492559,-8.752559,-8.232559
2006,-8.459139,-8.719139,-8.199139
2007,-8.732506,-8.992506,-8.472506
2008,-8.623238,-8.883238,-8.363238
2009,-8.817147,-9.077147,-8.557147
2010,-8.89829,-9.15829,-8.63829
2011,-8.610168,-8.870168,-8.350168
2012,-8.863189,-9.123189,-8.603189
2013,-8.75924,-9.01924,-8.49924
2014,-9.291162,-9.551162,-9.031162
2015,-9.457081,-9.717081,-9.197081
2016,-9.618664,-9.878664,-9.358664
